Name,Region,Resource ID,Resource Type,Tag Key,Tag Value
us-east-1a,us-east-1,use1-az1,AvailabilityZone
us-east-1b,us-east-1,use1-az2,AvailabilityZone
us-east-1c,us-east-1,use1-az4,AvailabilityZone
us-east-1d,us-east-1,use1-az6,AvailabilityZone
us-east-1e,us-east-1,use1-az3,AvailabilityZone
us-east-1f,us-east-1,use1-az5,AvailabilityZone
us-east-1-atl-2a,us-east-1,use1-atl2-az1,AvailabilityZone
us-east-1-bos-1a,us-east-1,use1-bos1-az1,AvailabilityZone
us-east-1-bue-1a,us-east-1,use1-bue1-az1,AvailabilityZone
us-east-1-chi-2a,us-east-1,use1-chi2-az1,AvailabilityZone
us-east-1-dfw-2a,us-east-1,use1-dfw2-az1,AvailabilityZone
us-east-1-foe-wlz-1a,us-east-1,use1-foe1-wlz1,AvailabilityZone
us-east-1-iah-2a,us-east-1,use1-iah2-az1,AvailabilityZone
us-east-1-lim-1a,us-east-1,use1-lim1-az1,AvailabilityZone
us-east-1-mci-1a,us-east-1,use1-mci1-az1,AvailabilityZone
us-east-1-mia-2a,us-east-1,use1-mia2-az1,AvailabilityZone
us-east-1-msp-1a,us-east-1,use1-msp1-az1,AvailabilityZone
us-east-1-nyc-2a,us-east-1,use1-nyc2-az1,AvailabilityZone
us-east-1-phl-1a,us-east-1,use1-phl1-az1,AvailabilityZone
us-east-1-scl-1a,us-east-1,use1-scl1-az1,AvailabilityZone
us-east-1-wl1-atl-wlz-1,us-east-1,use1-wl1-atl-wlz1,AvailabilityZone
us-east-1-wl1-bna-wlz-1,us-east-1,use1-wl1-bna-wlz1,AvailabilityZone
us-east-1-wl1-bos-wlz-1,us-east-1,use1-wl1-bos-wlz1,AvailabilityZone
us-east-1-wl1-chi-wlz-1,us-east-1,use1-wl1-chi-wlz1,AvailabilityZone
us-east-1-wl1-clt-wlz-1,us-east-1,use1-wl1-clt-wlz1,AvailabilityZone
us-east-1-wl1-dfw-wlz-1,us-east-1,use1-wl1-dfw-wlz1,AvailabilityZone
us-east-1-wl1-dtw-wlz-1,us-east-1,use1-wl1-dtw-wlz1,AvailabilityZone
us-east-1-wl1-iah-wlz-1,us-east-1,use1-wl1-iah-wlz1,AvailabilityZone
us-east-1-wl1-mia-wlz-1,us-east-1,use1-wl1-mia-wlz1,AvailabilityZone
us-east-1-wl1-msp-wlz-1,us-east-1,use1-wl1-msp-wlz1,AvailabilityZone
us-east-1-wl1-nyc-wlz-1,us-east-1,use1-wl1-nyc-wlz1,AvailabilityZone
us-east-1-wl1-tpa-wlz-1,us-east-1,use1-wl1-tpa-wlz1,AvailabilityZone
us-east-1-wl1-was-wlz-1,us-east-1,use1-wl1-was-wlz1,AvailabilityZone
TakeoutBastion,us-east-1,i-0872a7685cd743d05,Instance,Name,TakeoutBastion
openclaw-gateway,us-east-1,i-0e2381802de59f0e6,Instance,Name,openclaw-gateway
us-east-2a,us-east-2,use2-az1,AvailabilityZone,,
us-east-2b,us-east-2,use2-az2,AvailabilityZone,,
us-east-2c,us-east-2,use2-az3,AvailabilityZone,,
ca-central-1a,ca-central-1,cac1-az1,AvailabilityZone,,
ca-central-1b,ca-central-1,cac1-az2,AvailabilityZone,,
ca-central-1d,ca-central-1,cac1-az4,AvailabilityZone,,
ca-central-1-wl1-yto-wlz-1,ca-central-1,cac1-wl1-yto-wlz1,AvailabilityZone,,
us-west-1a,us-west-1,usw1-az1,AvailabilityZone,,
us-west-1c,us-west-1,usw1-az3,AvailabilityZone,,
eu-west-3a,eu-west-3,euw3-az1,AvailabilityZone,,
eu-west-3b,eu-west-3,euw3-az2,AvailabilityZone,,
eu-west-3c,eu-west-3,euw3-az3,AvailabilityZone,,
eu-west-3-cmn-wlz-1a,eu-west-3,euw3-cmn1-wlz1,AvailabilityZone,,
eu-west-3-dss-wlz-1a,eu-west-3,euw3-dss1-wlz1,AvailabilityZone,,
us-west-2a,us-west-2,usw2-az2,AvailabilityZone,,
us-west-2b,us-west-2,usw2-az1,AvailabilityZone,,
us-west-2c,us-west-2,usw2-az3,AvailabilityZone,,
us-west-2d,us-west-2,usw2-az4,AvailabilityZone,,
us-west-2-den-1a,us-west-2,usw2-den1-az1,AvailabilityZone,,
us-west-2-hnl-1a,us-west-2,usw2-hnl1-az1,AvailabilityZone,,
us-west-2-las-1a,us-west-2,usw2-las1-az1,AvailabilityZone,,
us-west-2-lax-1a,us-west-2,usw2-lax1-az1,AvailabilityZone,,
us-west-2-lax-1b,us-west-2,usw2-lax1-az2,AvailabilityZone,,
us-west-2-phx-2a,us-west-2,usw2-phx2-az1,AvailabilityZone,,
us-west-2-sea-1a,us-west-2,usw2-sea1-az1,AvailabilityZone,,
us-west-2-wl1-den-wlz-1,us-west-2,usw2-wl1-den-wlz1,AvailabilityZone,,
us-west-2-wl1-las-wlz-1,us-west-2,usw2-wl1-las-wlz1,AvailabilityZone,,
us-west-2-wl1-lax-wlz-1,us-west-2,usw2-wl1-lax-wlz1,AvailabilityZone,,
us-west-2-wl1-phx-wlz-1,us-west-2,usw2-wl1-phx-wlz1,AvailabilityZone,,
us-west-2-wl1-sea-wlz-1,us-west-2,usw2-wl1-sea-wlz1,AvailabilityZone,,
us-west-2-wl1-sfo-wlz-1,us-west-2,usw2-wl1-sfo-wlz1,AvailabilityZone,,
eu-central-1a,eu-central-1,euc1-az2,AvailabilityZone,,
eu-central-1b,eu-central-1,euc1-az3,AvailabilityZone,,
eu-central-1c,eu-central-1,euc1-az1,AvailabilityZone,,
eu-central-1-ham-1a,eu-central-1,euc1-ham1-az1,AvailabilityZone,,
eu-central-1-waw-1a,eu-central-1,euc1-waw1-az1,AvailabilityZone,,
eu-west-2a,eu-west-2,euw2-az2,AvailabilityZone,,
eu-west-2b,eu-west-2,euw2-az3,AvailabilityZone,,
eu-west-2c,eu-west-2,euw2-az1,AvailabilityZone,,
eu-west-2-wl2-man-wlz-1,eu-west-2,euw2-wl2-man-wlz1,AvailabilityZone,,
sa-east-1a,sa-east-1,sae1-az1,AvailabilityZone,,
sa-east-1b,sa-east-1,sae1-az2,AvailabilityZone,,
sa-east-1c,sa-east-1,sae1-az3,AvailabilityZone,,
eu-north-1a,eu-north-1,eun1-az1,AvailabilityZone,,
eu-north-1b,eu-north-1,eun1-az2,AvailabilityZone,,
eu-north-1c,eu-north-1,eun1-az3,AvailabilityZone,,
eu-north-1-cph-1a,eu-north-1,eun1-cph1-az1,AvailabilityZone,,
eu-north-1-hel-1a,eu-north-1,eun1-hel1-az1,AvailabilityZone,,
–,us-east-1,sg-0d08370bc82ee36b9,SecurityGroup,,
–,us-east-1,sg-005230b3d8eb9eb46,SecurityGroup,,
–,us-east-1,sg-0c472a762eb0e027e,SecurityGroup,,
–,us-east-1,sg-0458b5d5a61c7bd57,SecurityGroup,,
ap-northeast-1a,ap-northeast-1,apne1-az4,AvailabilityZone,,
ap-northeast-1c,ap-northeast-1,apne1-az1,AvailabilityZone,,
ap-northeast-1d,ap-northeast-1,apne1-az2,AvailabilityZone,,
ap-northeast-1-wl1-kix-wlz-1,ap-northeast-1,apne1-wl1-kix-wlz1,AvailabilityZone,,
ap-northeast-1-wl1-nrt-wlz-1,ap-northeast-1,apne1-wl1-nrt-wlz1,AvailabilityZone,,
–,us-east-2,sg-04427af22b70eab35,SecurityGroup,,
ap-northeast-3a,ap-northeast-3,apne3-az3,AvailabilityZone,,
ap-northeast-3b,ap-northeast-3,apne3-az1,AvailabilityZone,,
ap-northeast-3c,ap-northeast-3,apne3-az2,AvailabilityZone,,
ap-northeast-2a,ap-northeast-2,apne2-az1,AvailabilityZone,,
ap-northeast-2b,ap-northeast-2,apne2-az2,AvailabilityZone,,
ap-northeast-2c,ap-northeast-2,apne2-az3,AvailabilityZone,,
ap-northeast-2d,ap-northeast-2,apne2-az4,AvailabilityZone,,
–,us-east-1,subnet-0fa4190383114bd10,Subnet,,
–,us-east-1,subnet-004735317251be152,Subnet,,
–,us-east-1,subnet-0b05cce8108b47a51,Subnet,,
–,us-east-1,subnet-089727ef04f9207fd,Subnet,,
–,us-east-1,subnet-001a9879bf093593e,Subnet,,
–,us-east-1,subnet-03be316336d4aa0d9,Subnet,,
–,ca-central-1,subnet-0d1e07069533fb193,Subnet,,
–,ca-central-1,subnet-0b60d1f5cfd394eac,Subnet,,
–,ca-central-1,subnet-0ef7c82d0eb041eb7,Subnet,,
–,us-west-1,subnet-03ecbeb3b488d2645,Subnet,,
–,us-east-2,subnet-02b93cd706c765846,Subnet,,
–,us-east-2,subnet-0d3f7cf181d416358,Subnet,,
–,us-east-2,subnet-048653b2b82105f37,Subnet,,
eu-west-1a,eu-west-1,euw1-az2,AvailabilityZone,,
eu-west-1b,eu-west-1,euw1-az3,AvailabilityZone,,
eu-west-1c,eu-west-1,euw1-az1,AvailabilityZone,,
ap-southeast-2a,ap-southeast-2,apse2-az1,AvailabilityZone,,
ap-southeast-2b,ap-southeast-2,apse2-az3,AvailabilityZone,,
ap-southeast-2c,ap-southeast-2,apse2-az2,AvailabilityZone,,
ap-southeast-2-per-1a,ap-southeast-2,apse2-per1-az1,AvailabilityZone,,
–,ca-central-1,sg-07e2259a540240eec,SecurityGroup,,
ap-south-1a,ap-south-1,aps1-az1,AvailabilityZone,,
ap-south-1b,ap-south-1,aps1-az3,AvailabilityZone,,
ap-south-1c,ap-south-1,aps1-az2,AvailabilityZone,,
ap-south-1-ccu-1a,ap-south-1,aps1-ccu1-az1,AvailabilityZone,,
ap-south-1-del-1a,ap-south-1,aps1-del1-az1,AvailabilityZone,,
ap-southeast-1a,ap-southeast-1,apse1-az2,AvailabilityZone,,
ap-southeast-1b,ap-southeast-1,apse1-az1,AvailabilityZone,,
ap-southeast-1c,ap-southeast-1,apse1-az3,AvailabilityZone,,
ap-southeast-1-mnl-1a,ap-southeast-1,apse1-mnl1-az1,AvailabilityZone,,
–,eu-west-2,subnet-0dbfe38e115a39dc4,Subnet,,
